"id","seccion","subseccion","fecha_radar","tipo_radar","titulo_radar","estado_radar","estado_carga","titulo_en_supabase","repite_fuente_de","codigos_dof","fuentes","linea_radar","nota"
"RAD-016","12.1 Constitución, leyes, PND y reglamentos","","29 dic 2025","Fe de erratas","Reglamento de la Ley de CFE","Integra el texto aplicable","FALTA EN CATALOGO","","","5777392","https://sidof.segob.gob.mx/notas/5777392","1555","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-017","12.1 Constitución, leyes, PND y reglamentos","","3 dic 2025","Reglamento","Ley de la Empresa Pública del Estado, PEMEX","Vigente","FALTA EN CATALOGO","","","5775017","https://sidof.segob.gob.mx/notas/5775017","1556","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-018","12.1 Constitución, leyes, PND y reglamentos","","27 abr 2026","Manual","Manual de Organización General de la SENER","Vigente","FALTA EN CATALOGO","","","5785999","https://sidof.segob.gob.mx/notas/5785999","1557","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-019","12.1 Constitución, leyes, PND y reglamentos","","29 may 2026","Manual","Manual de Organización General de la CNE","Vigente","FALTA EN CATALOGO","","","5788990","https://sidof.segob.gob.mx/notas/5788990","1558","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-020","12.1 Constitución, leyes, PND y reglamentos","","17 jul 2026","Sentencia","Controversia constitucional 124/2025; límite de competencias municipales en hidrocarburos y electricidad","Publicada; invalidez con efectos desde la notificación al Congreso local","FALTA EN CATALOGO","","","5793873","https://sidof.segob.gob.mx/notas/5793873","1559","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-021","12.2 SENER: planeación, transición e información","","23 ene 2024","Acuerdo","Actualización de la Estrategia de Transición para Promover el Uso de Tecnologías y Combustibles más Limpios","**Sin efectos**; el PROSENER indica que será sustituida","FALTA: ANTECEDENTE O EFECTOS LIMITADOS","","","5714865","https://sidof.segob.gob.mx/notas/5714865","1565","Conservar estado histórico y cotejar relación con el instrumento posterior."
"RAD-022","12.2 SENER: planeación, transición e información","","31 may 2024","Programa","PRODESEN 2024-2038","Antecedente del régimen previo","FALTA: ANTECEDENTE O EFECTOS LIMITADOS","","","","https://www.gob.mx/sener/articulos/programa-de-desarrollo-del-sistema-electrico-nacional-2024-2038 ; https://www.cenace.gob.mx/Docs/16_MARCOREGULATORIO/Prodecen/20%202024-2038%20Cap%C3%ADtulos%201%20al%206.pdf","1566","Conservar estado histórico y cotejar relación con el instrumento posterior."
"RAD-023","12.2 SENER: planeación, transición e información","","18 sep 2024","Acuerdo modificatorio","Mercancías cuya importación y exportación regula SENER","Vigente/transitorio","FALTA EN CATALOGO","","","5739205","https://sidof.segob.gob.mx/notas/5739205","1567","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-024","12.2 SENER: planeación, transición e información","","17 oct 2025","Acuerdo / plan","PLADESE 2025-2039","Publicado y rector del sector eléctrico","FALTA EN CATALOGO","","","5770297","https://sidof.segob.gob.mx/notas/5770297","1568","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-025","12.2 SENER: planeación, transición e información","","17 oct 2025","DACG","Planeación vinculante en generación eléctrica","Vigente","YA CARGADO","DACG para la planeación vinculante en la actividad de generación de energía eléctrica","","5770298","https://sidof.segob.gob.mx/notas/5770298","1569","Coincidencia de código DOF; RLSE conciliado por identidad del instrumento. No implica validación de sus fragmentos."
"RAD-026","12.2 SENER: planeación, transición e información","","17 oct 2025","Convocatoria","Primera atención prioritaria de permisos e interconexión","Modificada tres veces","FALTA EN CATALOGO","","","5770299","https://sidof.segob.gob.mx/notas/5770299","1570","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-027","12.2 SENER: planeación, transición e información","","24 oct 2025","Modificación","Primera convocatoria","Integra requisitos y plazos","FALTA EN CATALOGO","","","5770917","https://sidof.segob.gob.mx/notas/5770917","1571","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-028","12.2 SENER: planeación, transición e información","","10 nov 2025","Segunda modificación","Primera convocatoria","Integra requisitos y plazos","FALTA EN CATALOGO","","","5772392","https://sidof.segob.gob.mx/notas/5772392","1572","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-029","12.2 SENER: planeación, transición e información","","2 dic 2025","Tercera modificación","Primera convocatoria","Última modificación localizada de esa convocatoria","FALTA EN CATALOGO","","","5774850","https://sidof.segob.gob.mx/notas/5774850","1573","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-030","12.2 SENER: planeación, transición e información","","22 dic 2025","Decreto","Aprobación de PROSENER 2025-2030","Vigente","FALTA EN CATALOGO","","","5776837","https://sidof.segob.gob.mx/notas/5776837","1574","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-031","12.2 SENER: planeación, transición e información","","22 dic 2025","Programa","Texto de PROSENER 2025-2030","Vigente","FALTA EN CATALOGO","","","5776838","https://sidof.segob.gob.mx/notas/5776838","1575","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-032","12.2 SENER: planeación, transición e información","","28 ene 2026","Lineamientos CFE","Esquemas para el Desarrollo Mixto","Sustento normativo; distinto de la convocatoria","FALTA EN CATALOGO","","","5778994","https://sidof.segob.gob.mx/notas/5778994","1576","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-033","12.2 SENER: planeación, transición e información","","6 feb 2026","Aviso SENER","Convocatoria para Esquemas de Desarrollo Mixto de CFE","Registro cerrado el 3 mar 2026; nota DOF propia pendiente de acreditar","FALTA EN CATALOGO","","","","https://ventanilla.energia.gob.mx/avisos/8","1577","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-034","12.2 SENER: planeación, transición e información","","8 may 2026","Lineamientos","Ventanilla Única de Autoconsumo","Vigente","FALTA EN CATALOGO","","","5786923","https://sidof.segob.gob.mx/notas/5786923","1578","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-035","12.2 SENER: planeación, transición e información","","11 may 2026","Convocatoria","Segunda atención prioritaria de generación e interconexión","Modificada cuatro veces","FALTA EN CATALOGO","","","5787117","https://sidof.segob.gob.mx/notas/5787117","1579","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-036","12.2 SENER: planeación, transición e información","","15 may 2026","Convocatoria","Proyectos estratégicos de generación y almacenamiento","Modificada tres veces","FALTA EN CATALOGO","","","5787666","https://sidof.segob.gob.mx/notas/5787666","1580","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-037","12.2 SENER: planeación, transición e información","","26 may 2026","Modificación","Proyectos estratégicos","Primera modificación","FALTA EN CATALOGO","","","5788508","https://sidof.segob.gob.mx/notas/5788508","1581","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-038","12.2 SENER: planeación, transición e información","","26 may 2026","Modificación","Segunda convocatoria","Primera modificación","FALTA EN CATALOGO","","","5788509","https://sidof.segob.gob.mx/notas/5788509","1582","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-039","12.2 SENER: planeación, transición e información","","8 jun 2026","Modificación","Segunda convocatoria","Segunda modificación","FALTA EN CATALOGO","","","5789883","https://sidof.segob.gob.mx/notas/5789883","1583","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-040","12.2 SENER: planeación, transición e información","","18 jun 2026","Modificación","Segunda convocatoria","Tercera modificación","FALTA EN CATALOGO","","","5790938","https://sidof.segob.gob.mx/notas/5790938","1584","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-041","12.2 SENER: planeación, transición e información","","10 sep 2026","Modificación","Segunda convocatoria","Cuarta modificación; reprograma etapas 8 a 17 y entra en vigor el mismo día","FALTA EN CATALOGO","","","5798361","https://sidof.segob.gob.mx/notas/5798361","1585","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-042","12.2 SENER: planeación, transición e información","","18 jun 2026","Lineamientos","Migración voluntaria y expedita de autoabastecimiento y cogeneración","Vigente; nota aclaratoria posterior","FALTA EN CATALOGO","","","5790937","https://sidof.segob.gob.mx/notas/5790937","1586","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-043","12.2 SENER: planeación, transición e información","","26 jun 2026","Nota aclaratoria","Lineamientos de migración","Integra el texto aplicable","FALTA EN CATALOGO","","","5791847","https://sidof.segob.gob.mx/notas/5791847","1587","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-044","12.2 SENER: planeación, transición e información","","8 sep 2026","Acuerdo modificatorio","Lineamientos de migración de autoabastecimiento y cogeneración","Amplía calendarios y precisa conexión, SAEE, pruebas, suministro y medición; vigente desde el día hábil siguiente","FALTA EN CATALOGO","","","5798117","https://sidof.segob.gob.mx/notas/5798117","1588","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-045","12.2 SENER: planeación, transición e información","","10 jul 2026","Modificación","Proyectos estratégicos de generación y almacenamiento","Segunda modificación","FALTA EN CATALOGO","","","5793261","https://sidof.segob.gob.mx/notas/5793261","1589","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-046","12.2 SENER: planeación, transición e información","","31 ago 2026","Acuerdo / formatos","Permisos, autorizaciones, bitácoras y avisos de biocombustibles","Publicado; vigente desde el 1 sep 2026; deja sin efectos el acuerdo de formatos de 13 nov 2009","FALTA: ANTECEDENTE O EFECTOS LIMITADOS","","","5797477","https://sidof.segob.gob.mx/notas/5797477","1590","Conservar estado histórico y cotejar relación con el instrumento posterior."
"RAD-047","12.2 SENER: planeación, transición e información","","2 sep 2026","Tercera modificación","Proyectos estratégicos de generación y almacenamiento","Mantiene cierre de generación el 2 sep; amplía SAEE al 30 oct 2026","FALTA EN CATALOGO","","","5797703","https://sidof.segob.gob.mx/notas/5797703","1591","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-048","12.2 SENER: planeación, transición e información","","7 sep 2026","Plan","Plan de Desarrollo del Sector Hidrocarburos (PLADESHi)","Publicado y vigente; horizonte de 15 años, revisiones anuales y escenarios 2025-2039","FALTA EN CATALOGO","","","5798065","https://sidof.segob.gob.mx/notas/5798065","1592","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-049","12.2 SENER: planeación, transición e información","","Consulta permanente","Sistema","Sistema de Información Energética","En operación","PORTAL O COLECCION","","","","https://sie.energia.gob.mx/inicio/","1593","No equivale a un instrumento individual; seleccionar documentos concretos."
"RAD-050","12.2 SENER: planeación, transición e información","","Consulta permanente","Publicación","Balance Nacional de Energía","Colección oficial anual","PORTAL O COLECCION","","","","https://www.gob.mx/sener/articulos/balance-nacional-de-energia-296106","1594","No equivale a un instrumento individual; seleccionar documentos concretos."
"RAD-051","12.2 SENER: planeación, transición e información","Instrumentos previstos pero no localizados como publicación","","Estrategia Nacional de Transición Energética","Estrategia Nacional de Transición Energética","No localizada; PROSENER dijo que estaba en elaboración","PENDIENTE DE PUBLICACION VERIFICADA","","","5752329","https://sidof.segob.gob.mx/notas/5752329","1600","La URL sustenta la previsión del instrumento; no es el documento faltante."
"RAD-052","12.2 SENER: planeación, transición e información","Instrumentos previstos pero no localizados como publicación","","PLATEASE","PLATEASE","No localizado como instrumento emitido","PENDIENTE DE PUBLICACION VERIFICADA","","","5769157","https://sidof.segob.gob.mx/notas/5769157","1601","La URL sustenta la previsión del instrumento; no es el documento faltante."
"RAD-053","12.2 SENER: planeación, transición e información","Instrumentos previstos pero no localizados como publicación","","Declaratoria integral de operación del SNIE","Declaratoria integral de operación del SNIE","No localizada","PENDIENTE DE PUBLICACION VERIFICADA","","","5769157","https://sidof.segob.gob.mx/notas/5769157","1602","La URL sustenta la previsión del instrumento; no es el documento faltante."
"RAD-054","12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado","","12 ene 2024","Manual","Suspensión de Operaciones del Mercado de Energía de Corto Plazo","Vigente/transitorio","FALTA EN CATALOGO","","","5714307","https://sidof.segob.gob.mx/notas/5714307","1608","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-055","12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado","","17 ene 2024","Acuerdo A/062/2023","Modificación o transferencia de permisos de generación y suministro","Derogado en la parte aplicable por DACG de 23 oct 2025","FALTA: ANTECEDENTE O EFECTOS LIMITADOS","","","5714540","https://sidof.segob.gob.mx/notas/5714540","1609","Conservar estado histórico y cotejar relación con el instrumento posterior."
"RAD-056","12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado","","18 ene 2024","Acuerdo A/051/2023","Beneficio neto de obras particulares en PAM y cesión de redes","Vigente/transitorio","FALTA EN CATALOGO","","","5714631","https://sidof.segob.gob.mx/notas/5714631","1610","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-057","12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado","","23 ene 2024","Acuerdo A/025/2023","Acceso abierto a RNT y RGD","Vigente/transitorio","FALTA EN CATALOGO","","","5714880","https://sidof.segob.gob.mx/notas/5714880","1611","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-058","12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado","","12 mar 2024","Acuerdo","Insistencia de modificaciones de 2019 a lineamientos CEL","Define retorno al marco previo","FALTA EN CATALOGO","","","5719864","https://sidof.segob.gob.mx/notas/5719864","1612","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-059","12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado","","8 abr 2024","Acuerdo A/007/2024","Asignación de CEL disponibles, obligación 2022","Acto ejecutado","FALTA EN CATALOGO","","","5722482","https://sidof.segob.gob.mx/notas/5722482","1613","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-060","12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado","","17 ago 2026","Acuerdo","Requisitos CEL 2025-2026","Vigente; 13.9% anual","FALTA EN CATALOGO","","","","https://www.dof.gob.mx/abrirPDF.php?anio=2026&archivo=17082026-MAT.pdf&repo=","1614","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-061","12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado","","23 abr 2024","Acuerdo A/023/2024","Exclusión de centros de carga de autoabastecimiento o cogeneración legada","Vigente/transitorio; revisar lineamientos de migración 2026","FALTA EN CATALOGO","","","5724250","https://sidof.segob.gob.mx/notas/5724250","1615","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-062","12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado","","20 may 2024","Acuerdo A/054/2024","Unidades de inspección para centros de carga, generación, transmisión y distribución","Vigente/transitorio","FALTA EN CATALOGO","","","5727366","https://sidof.segob.gob.mx/notas/5727366","1616","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-063","12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado","","13 jun 2024","Acuerdo A/061/2024","Deja insubsistente modificación de 2020 sobre permisos","Antecedente; régimen sustituido en 2025","FALTA: ANTECEDENTE O EFECTOS LIMITADOS","","","5730361","https://sidof.segob.gob.mx/notas/5730361","1617","Conservar estado histórico y cotejar relación con el instrumento posterior."
"RAD-064","12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado","","10 sep 2024","Acuerdo A/108/2024","Electromovilidad e infraestructura de carga conectada al SEN","Vigente/transitorio","FALTA EN CATALOGO","","","5738646","https://sidof.segob.gob.mx/notas/5738646","1618","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-065","12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado","","30 ene 2025","Acuerdo A/085/2024","Liquidación de cargas indirectamente modeladas en suministro de último recurso","Vigente/transitorio","FALTA EN CATALOGO","","","5748078","https://sidof.segob.gob.mx/notas/5748078","1619","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-066","12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado","","7 mar 2025","Acuerdo A/113/2024","Primeras DACG de almacenamiento eléctrico","**Sin efectos desde abril de 2026**","FALTA: ANTECEDENTE O EFECTOS LIMITADOS","","","5751230","https://sidof.segob.gob.mx/notas/5751230","1620","Conservar estado histórico y cotejar relación con el instrumento posterior."
"RAD-067","12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado","","6 ago 2025","Acuerdo","Permiso de autoconsumo interconectado de 0.7 a 20 MW","Vigente","FALTA EN CATALOGO","","","5764827","https://sidof.segob.gob.mx/notas/5764827","1621","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-068","12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado","","7 oct 2025","Formato","Autoconsumo interconectado 0.7-20 MW","Vigente","FALTA EN CATALOGO","","","5769388","https://sidof.segob.gob.mx/notas/5769388","1622","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-069","12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado","","23 oct 2025","DACG","Permisos de generación y almacenamiento, modificaciones y vigencias","Vigente","FALTA EN CATALOGO","","","5770667","https://sidof.segob.gob.mx/notas/5770667","1623","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-070","12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado","","17 mar 2026","Contrato modelo","Interconexión y conexión de centrales, SAEE y centros de carga","Vigente","FALTA EN CATALOGO","","","5782317","https://sidof.segob.gob.mx/notas/5782317","1624","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-071","12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado","","3 abr 2026","DACG","Mecanismos competitivos CENACE para potencia, energía, servicios conexos y confiabilidad","Vigente","FALTA EN CATALOGO","","","5784027","https://sidof.segob.gob.mx/notas/5784027","1625","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-072","12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado","","16 abr 2026","DACG","Cogeneración","Vigente","FALTA EN CATALOGO","","","5785044","https://sidof.segob.gob.mx/notas/5785044","1626","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-073","12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado","","16 abr 2026","DACG","Integración de SAEE al SEN","Vigente; sustituye A/113/2024","YA CARGADO","ACUERDO de la CNE por el que se emiten las DACG para la integración de SAE al SEN","","5785045","https://sidof.segob.gob.mx/notas/5785045","1627","Coincidencia de código DOF; RLSE conciliado por identidad del instrumento. No implica validación de sus fragmentos."
"RAD-074","12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado","","22 may 2026","Formatos","Cogeneración","Vigente","FALTA EN CATALOGO","","","5788271","https://sidof.segob.gob.mx/notas/5788271","1628","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-075","12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado","","22 may 2026","Formatos","SAEE","Vigente","FALTA EN CATALOGO","","","5788270","https://sidof.segob.gob.mx/notas/5788270","1629","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-076","12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado","","18 jun 2026","Metodología","Cargo de transmisión para permisos legados LSPEE","Vigente","FALTA EN CATALOGO","","","5790939","https://sidof.segob.gob.mx/notas/5790939","1630","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-077","12.4 CENACE","","12 ene 2024","Manual","Suspensión del Mercado de Energía de Corto Plazo","Vigente/transitorio","FALTA EN CATALOGO","","RAD-054","5714307","https://sidof.segob.gob.mx/notas/5714307","1636","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-078","12.4 CENACE","","17 oct 2025","Insumo de planeación","PLADESE, PVIRCE y PAM","CENACE participa como soporte técnico","FALTA EN CATALOGO","","RAD-024","5770297","https://sidof.segob.gob.mx/notas/5770297","1637","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-079","12.4 CENACE","","17 mar 2026","Contrato modelo","Interconexión y conexión","Aplicación operativa junto con CNE y CFE","FALTA EN CATALOGO","","RAD-070","5782317","https://sidof.segob.gob.mx/notas/5782317","1638","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-080","12.4 CENACE","","3 abr 2026","DACG","Mecanismos competitivos para confiabilidad","Vigente","FALTA EN CATALOGO","","RAD-071","5784027","https://sidof.segob.gob.mx/notas/5784027","1639","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-081","12.4 CENACE","","30 abr 2026","Aviso / programa","Programa Institucional CENACE 2026-2030","Publicado por aviso","FALTA EN CATALOGO","","","5786368","https://sidof.segob.gob.mx/notas/5786368","1640","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-082","12.4 CENACE","","Consulta permanente","Marco regulatorio","Documentos de planeación y operación","Portal institucional","PORTAL O COLECCION","","","","https://www.cenace.gob.mx/","1641","No equivale a un instrumento individual; seleccionar documentos concretos."
"RAD-083","12.5 CFE","","1 abr 2024","Modificación estatutaria","Estatuto Orgánico de la CFE","Antecedente del régimen previo","FALTA: ANTECEDENTE O EFECTOS LIMITADOS","","","5721854","https://sidof.segob.gob.mx/notas/5721854","1647","Conservar estado histórico y cotejar relación con el instrumento posterior."
"RAD-084","12.5 CFE","","16 may 2024","Modificación estatutaria","CFE Suministrador de Servicios Básicos","Antecedente del régimen previo","FALTA: ANTECEDENTE O EFECTOS LIMITADOS","","","5726910","https://sidof.segob.gob.mx/notas/5726910","1648","Conservar estado histórico y cotejar relación con el instrumento posterior."
"RAD-085","12.5 CFE","","18 mar 2025","Ley","Ley de la Empresa Pública del Estado, CFE","Vigente","FALTA EN CATALOGO","","","5752329","https://sidof.segob.gob.mx/notas/5752329","1649","Extraer esta ley por separado del decreto que expidió ocho leyes."
"RAD-086","12.5 CFE","","2 jun 2025","Estatuto orgánico","Empresa Pública del Estado, CFE","Vigente","FALTA EN CATALOGO","","","5758999","https://sidof.segob.gob.mx/notas/5758999","1650","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-087","12.5 CFE","","17 oct 2025","Plan","PLADESE: alineación de programa, generación, transmisión y distribución","Vigente","FALTA EN CATALOGO","","RAD-024","5770297","https://sidof.segob.gob.mx/notas/5770297","1651","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-088","12.5 CFE","","2 dic 2025","Reglamento","Ley de la Empresa Pública del Estado, CFE","Vigente con fe de erratas","FALTA EN CATALOGO","","RAD-015","5774837","https://sidof.segob.gob.mx/notas/5774837","1652","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
"RAD-089","12.5 CFE","","29 dic 2025","Fe de erratas","Reglamento de CFE","Integra texto aplicable","FALTA EN CATALOGO","","RAD-016","5777392","https://sidof.segob.gob.mx/notas/5777392","1653","Referencia del radar; cotejar fuente completa y vigencia antes de procesar."
