ID,Sección,Tipo,Referencia,Fecha,Estado de carga,Estatus según radar,Fuentes,Nota
RAD-015,"12.1 Constitución, leyes, PND y reglamentos",Reglamento,"Ley de la Empresa Pública del Estado, CFE",2 dic 2025,Cargado,Vigente; fe de erratas posterior,https://sidof.segob.gob.mx/notas/5774837,Reglamento cargado con el artículo 68 corregido según la fe de erratas y un fragmento complementario que conserva esa publicación. PDF consolidado de Diputados cotejado.
RAD-016,"12.1 Constitución, leyes, PND y reglamentos",Fe de erratas,Reglamento de la Ley de CFE,29 dic 2025,Cargado,Integra el texto aplicable,https://sidof.segob.gob.mx/notas/5777392,"Fe de erratas incorporada como documento complementario de RLEPECFE y aplicada al artículo 68. Es cobertura dentro del reglamento, no un instrumento adicional en el catálogo."
RAD-017,"12.1 Constitución, leyes, PND y reglamentos",Reglamento,"Ley de la Empresa Pública del Estado, PEMEX",3 dic 2025,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5775017,Correspondencia de instrumento verificada contra el catálogo actual; no se deduce solo de la URL.
RAD-018,"12.1 Constitución, leyes, PND y reglamentos",Manual,Manual de Organización General de la SENER,27 abr 2026,Por cotejar e incorporar,Vigente,https://sidof.segob.gob.mx/notas/5785999,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-019,"12.1 Constitución, leyes, PND y reglamentos",Manual,Manual de Organización General de la CNE,29 may 2026,Por cotejar e incorporar,Vigente,https://sidof.segob.gob.mx/notas/5788990,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-020,"12.1 Constitución, leyes, PND y reglamentos",Sentencia,Controversia constitucional 124/2025; límite de competencias municipales en hidrocarburos y electricidad,17 jul 2026,Por cotejar e incorporar,Publicada; invalidez con efectos desde la notificación al Congreso local,https://sidof.segob.gob.mx/notas/5793873,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-021,"12.2 SENER: planeación, transición e información",Acuerdo,Actualización de la Estrategia de Transición para Promover el Uso de Tecnologías y Combustibles más Limpios,23 ene 2024,Antecedente o efectos limitados,**Sin efectos**; el PROSENER indica que será sustituida,https://sidof.segob.gob.mx/notas/5714865,Conservar estado histórico y cotejar relación con el instrumento posterior.
RAD-022,"12.2 SENER: planeación, transición e información",Programa,PRODESEN 2024-2038,31 may 2024,Antecedente o efectos limitados,Antecedente del régimen previo,https://www.gob.mx/sener/articulos/programa-de-desarrollo-del-sistema-electrico-nacional-2024-2038 | https://www.cenace.gob.mx/Docs/16_MARCOREGULATORIO/Prodecen/20%202024-2038%20Cap%C3%ADtulos%201%20al%206.pdf,Conservar estado histórico y cotejar relación con el instrumento posterior.
RAD-023,"12.2 SENER: planeación, transición e información",Acuerdo modificatorio,Mercancías cuya importación y exportación regula SENER,18 sep 2024,Por cotejar e incorporar,Vigente/transitorio,https://sidof.segob.gob.mx/notas/5739205,Referencia del radar; cotejar fuente completa y vigencia antes de procesar.
RAD-024,"12.2 SENER: planeación, transición e información",Acuerdo / plan,PLADESE 2025-2039,17 oct 2025,Cargado,Publicado y rector del sector eléctrico,https://sidof.segob.gob.mx/notas/5770297 | https://sidof.segob.gob.mx/notas/docFuente/5770297,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-planeacion-2026-09-19/VERIFICACION.json."
RAD-025,"12.2 SENER: planeación, transición e información",DACG,Planeación vinculante en generación eléctrica,17 oct 2025,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5770298,Correspondencia de instrumento verificada contra el catálogo actual; no se deduce solo de la URL.
RAD-026,"12.2 SENER: planeación, transición e información",Convocatoria,Primera atención prioritaria de permisos e interconexión,17 oct 2025,Cargado,Modificada tres veces,https://sidof.segob.gob.mx/notas/5770299,"Publicación oficial incorporada íntegramente como versión separada, con fecha DOF y nota editorial que enlaza el original y sus modificaciones. Calendarios y anexos conservados; no es texto consolidado ni acredita plazos abiertos."
RAD-027,"12.2 SENER: planeación, transición e información",Modificación,Primera convocatoria,24 oct 2025,Cargado,Integra requisitos y plazos,https://sidof.segob.gob.mx/notas/5770917,"Publicación oficial incorporada íntegramente como versión separada, con fecha DOF y nota editorial que enlaza el original y sus modificaciones. Calendarios y anexos conservados; no es texto consolidado ni acredita plazos abiertos."
RAD-028,"12.2 SENER: planeación, transición e información",Segunda modificación,Primera convocatoria,10 nov 2025,Cargado,Integra requisitos y plazos,https://sidof.segob.gob.mx/notas/5772392,"Publicación oficial incorporada íntegramente como versión separada, con fecha DOF y nota editorial que enlaza el original y sus modificaciones. Calendarios y anexos conservados; no es texto consolidado ni acredita plazos abiertos."
RAD-029,"12.2 SENER: planeación, transición e información",Tercera modificación,Primera convocatoria,2 dic 2025,Cargado,Última modificación localizada de esa convocatoria,https://sidof.segob.gob.mx/notas/5774850,"Publicación oficial incorporada íntegramente como versión separada, con fecha DOF y nota editorial que enlaza el original y sus modificaciones. Calendarios y anexos conservados; no es texto consolidado ni acredita plazos abiertos."
RAD-030,"12.2 SENER: planeación, transición e información",Decreto,Aprobación de PROSENER 2025-2030,22 dic 2025,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5776837 | https://sidof.segob.gob.mx/notas/docFuente/5776837,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-planeacion-2026-09-19/VERIFICACION.json."
RAD-031,"12.2 SENER: planeación, transición e información",Programa,Texto de PROSENER 2025-2030,22 dic 2025,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5776838 | https://sidof.segob.gob.mx/notas/docFuente/5776838,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-planeacion-2026-09-19/VERIFICACION.json."
RAD-032,"12.2 SENER: planeación, transición e información",Lineamientos CFE,Esquemas para el Desarrollo Mixto,28 ene 2026,Cargado,Sustento normativo; distinto de la convocatoria,https://sidof.segob.gob.mx/notas/5778994 | https://sidof.segob.gob.mx/notas/docFuente/5778994,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-complementos-2026-09-19/VERIFICACION.json."
RAD-033,"12.2 SENER: planeación, transición e información",Aviso SENER,Convocatoria para Esquemas de Desarrollo Mixto de CFE,6 feb 2026,Por cotejar e incorporar,Registro cerrado el 3 mar 2026; nota DOF propia pendiente de acreditar,https://ventanilla.energia.gob.mx/avisos/8,"Se revisaron el aviso de SENER y su carpeta pública el 19 de septiembre. Contiene dos formularios PDF, los lineamientos (ya cargados), dos hojas XLSX y un calendario PNG. No se identificaron bases completas ni una publicación DOF propia de la convocatoria. Se conserva pendiente; no se confunden los materiales de apoyo con las bases."
RAD-034,"12.2 SENER: planeación, transición e información",Lineamientos,Ventanilla Única de Autoconsumo,8 may 2026,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5786923,"Lineamientos cargados con ocho capítulos, 36 numerales de segundo nivel y todos sus subnumerales e incisos, cinco transitorios y tres anexos completos. Se preservaron 24 tablas y 863 celdas."
RAD-035,"12.2 SENER: planeación, transición e información",Convocatoria,Segunda atención prioritaria de generación e interconexión,11 may 2026,Cargado,Modificada cuatro veces,https://sidof.segob.gob.mx/notas/5787117,"Publicación oficial incorporada íntegramente como versión separada, con fecha DOF y nota editorial que enlaza el original y sus modificaciones. Calendarios y anexos conservados; no es texto consolidado ni acredita plazos abiertos."
RAD-036,"12.2 SENER: planeación, transición e información",Convocatoria,Proyectos estratégicos de generación y almacenamiento,15 may 2026,Cargado,Modificada tres veces,https://sidof.segob.gob.mx/notas/5787666,"Publicación oficial incorporada íntegramente como versión separada, con fecha DOF y nota editorial que enlaza el original y sus modificaciones. Calendarios y anexos conservados; no es texto consolidado ni acredita plazos abiertos."
RAD-037,"12.2 SENER: planeación, transición e información",Modificación,Proyectos estratégicos,26 may 2026,Cargado,Primera modificación,https://sidof.segob.gob.mx/notas/5788508,"Publicación oficial incorporada íntegramente como versión separada, con fecha DOF y nota editorial que enlaza el original y sus modificaciones. Calendarios y anexos conservados; no es texto consolidado ni acredita plazos abiertos."
RAD-038,"12.2 SENER: planeación, transición e información",Modificación,Segunda convocatoria,26 may 2026,Cargado,Primera modificación,https://sidof.segob.gob.mx/notas/5788509,"Publicación oficial incorporada íntegramente como versión separada, con fecha DOF y nota editorial que enlaza el original y sus modificaciones. Calendarios y anexos conservados; no es texto consolidado ni acredita plazos abiertos."
RAD-039,"12.2 SENER: planeación, transición e información",Modificación,Segunda convocatoria,8 jun 2026,Cargado,Segunda modificación,https://sidof.segob.gob.mx/notas/5789883,"Publicación oficial incorporada íntegramente como versión separada, con fecha DOF y nota editorial que enlaza el original y sus modificaciones. Calendarios y anexos conservados; no es texto consolidado ni acredita plazos abiertos."
RAD-040,"12.2 SENER: planeación, transición e información",Modificación,Segunda convocatoria,18 jun 2026,Cargado,Tercera modificación,https://sidof.segob.gob.mx/notas/5790938,"Publicación oficial incorporada íntegramente como versión separada, con fecha DOF y nota editorial que enlaza el original y sus modificaciones. Calendarios y anexos conservados; no es texto consolidado ni acredita plazos abiertos."
RAD-041,"12.2 SENER: planeación, transición e información",Modificación,Segunda convocatoria,10 sep 2026,Cargado,Cuarta modificación; reprograma etapas 8 a 17 y entra en vigor el mismo día,https://sidof.segob.gob.mx/notas/5798361,"Publicación oficial incorporada íntegramente como versión separada, con fecha DOF y nota editorial que enlaza el original y sus modificaciones. Calendarios y anexos conservados; no es texto consolidado ni acredita plazos abiertos."
RAD-042,"12.2 SENER: planeación, transición e información",Lineamientos,Migración voluntaria y expedita de autoabastecimiento y cogeneración,18 jun 2026,Cargado,Vigente; nota aclaratoria posterior,https://sidof.segob.gob.mx/notas/5790937 | https://sidof.segob.gob.mx/notas/docFuente/5790937,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-pendientes-2026-09-19/VERIFICACION.json."
RAD-043,"12.2 SENER: planeación, transición e información",Nota aclaratoria,Lineamientos de migración,26 jun 2026,Cargado,Integra el texto aplicable,https://sidof.segob.gob.mx/notas/5791847 | https://sidof.segob.gob.mx/notas/docFuente/5791847,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-pendientes-2026-09-19/VERIFICACION.json."
RAD-044,"12.2 SENER: planeación, transición e información",Acuerdo modificatorio,Lineamientos de migración de autoabastecimiento y cogeneración,8 sep 2026,Cargado,"Amplía calendarios y precisa conexión, SAEE, pruebas, suministro y medición; vigente desde el día hábil siguiente",https://sidof.segob.gob.mx/notas/5798117 | https://sidof.segob.gob.mx/notas/docFuente/5798117,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-pendientes-2026-09-19/VERIFICACION.json."
RAD-045,"12.2 SENER: planeación, transición e información",Modificación,Proyectos estratégicos de generación y almacenamiento,10 jul 2026,Cargado,Segunda modificación,https://sidof.segob.gob.mx/notas/5793261,"Publicación oficial incorporada íntegramente como versión separada, con fecha DOF y nota editorial que enlaza el original y sus modificaciones. Calendarios y anexos conservados; no es texto consolidado ni acredita plazos abiertos."
RAD-046,"12.2 SENER: planeación, transición e información",Acuerdo / formatos,"Permisos, autorizaciones, bitácoras y avisos de biocombustibles",31 ago 2026,Cargado,Publicado; vigente desde el 1 sep 2026; deja sin efectos el acuerdo de formatos de 13 nov 2009,https://sidof.segob.gob.mx/notas/5797477 | https://dof.gob.mx/nota_detalle_popup.php?codigo=5797477,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-complementos-2026-09-19/VERIFICACION.json."
RAD-047,"12.2 SENER: planeación, transición e información",Tercera modificación,Proyectos estratégicos de generación y almacenamiento,2 sep 2026,Cargado,Mantiene cierre de generación el 2 sep; amplía SAEE al 30 oct 2026,https://sidof.segob.gob.mx/notas/5797703,"Publicación oficial incorporada íntegramente como versión separada, con fecha DOF y nota editorial que enlaza el original y sus modificaciones. Calendarios y anexos conservados; no es texto consolidado ni acredita plazos abiertos."
RAD-048,"12.2 SENER: planeación, transición e información",Plan,Plan de Desarrollo del Sector Hidrocarburos (PLADESHi),7 sep 2026,Cargado,"Publicado y vigente; horizonte de 15 años, revisiones anuales y escenarios 2025-2039",https://sidof.segob.gob.mx/notas/5798065 | https://sidof.segob.gob.mx/notas/docFuente/5798065,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-planeacion-2026-09-19/VERIFICACION.json."
RAD-049,"12.2 SENER: planeación, transición e información",Sistema,Sistema de Información Energética,Consulta permanente,Portal / colección,En operación,https://sie.energia.gob.mx/inicio/,No equivale a un instrumento individual; seleccionar documentos concretos.
RAD-050,"12.2 SENER: planeación, transición e información",Publicación,Balance Nacional de Energía,Consulta permanente,Portal / colección,Colección oficial anual,https://www.gob.mx/sener/articulos/balance-nacional-de-energia-296106,No equivale a un instrumento individual; seleccionar documentos concretos.
RAD-051,"12.2 SENER: planeación, transición e información",Estrategia Nacional de Transición Energética,Estrategia Nacional de Transición Energética,,Publicación no localizada en el radar,No localizada; PROSENER dijo que estaba en elaboración,https://sidof.segob.gob.mx/notas/5752329,"La liga remite a la base jurídica (LPTE), no a una publicación de la estrategia. Cargar la LPTE no cubre esta referencia."
RAD-052,"12.2 SENER: planeación, transición e información",PLATEASE,PLATEASE,,Publicación no localizada en el radar,No localizado como instrumento emitido,https://sidof.segob.gob.mx/notas/5769157,"La liga remite al reglamento como base jurídica, no a una publicación de PLATEASE."
RAD-053,"12.2 SENER: planeación, transición e información",Declaratoria integral de operación del SNIE,Declaratoria integral de operación del SNIE,,Publicación no localizada en el radar,No localizada,https://sidof.segob.gob.mx/notas/5769157,La liga remite a transitorios del reglamento; no acredita la declaratoria integral del SNIE.
RAD-054,"12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado",Manual,Suspensión de Operaciones del Mercado de Energía de Corto Plazo,12 ene 2024,Cargado,Vigente/transitorio,https://sidof.segob.gob.mx/notas/5714307 | https://sidof.segob.gob.mx/notas/docFuente/5714307,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-electricidad-2026-09-19/VERIFICACION.json."
RAD-055,"12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado",Acuerdo A/062/2023,Modificación o transferencia de permisos de generación y suministro,17 ene 2024,Antecedente o efectos limitados,Derogado en la parte aplicable por DACG de 23 oct 2025,https://sidof.segob.gob.mx/notas/5714540,Conservar estado histórico y cotejar relación con el instrumento posterior.
RAD-056,"12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado",Acuerdo A/051/2023,Beneficio neto de obras particulares en PAM y cesión de redes,18 ene 2024,Cargado,Vigente/transitorio,https://sidof.segob.gob.mx/notas/5714631 | https://sidof.segob.gob.mx/notas/docFuente/5714631,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-electricidad-2026-09-19/VERIFICACION.json."
RAD-057,"12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado",Acuerdo A/025/2023,Acceso abierto a RNT y RGD,23 ene 2024,Cargado,Vigente/transitorio,https://sidof.segob.gob.mx/notas/5714880 | https://sidof.segob.gob.mx/notas/docFuente/5714880,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-electricidad-2026-09-19/VERIFICACION.json. Es el acuerdo modificatorio A/025/2023; conserva omisiones y derogaciones del anexo, no el texto consolidado de RES/948/2015."
RAD-058,"12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado",Acuerdo,Insistencia de modificaciones de 2019 a lineamientos CEL,12 mar 2024,Cargado,Define retorno al marco previo,https://sidof.segob.gob.mx/notas/5719864 | https://sidof.segob.gob.mx/notas/docFuente/5719864,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-electricidad-2026-09-19/VERIFICACION.json. El título oficial dice insubsistencia; se conserva el título de la referencia original del radar para trazabilidad."
RAD-059,"12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado",Acuerdo A/007/2024,"Asignación de CEL disponibles, obligación 2022",8 abr 2024,Cargado,Acto ejecutado,https://sidof.segob.gob.mx/notas/5722482 | https://sidof.segob.gob.mx/notas/docFuente/5722482,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-electricidad-2026-09-19/VERIFICACION.json."
RAD-060,"12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado",Acuerdo,Requisitos CEL 2025-2026,17 ago 2026,Cargado,Vigente; 13.9% anual,https://www.dof.gob.mx/abrirPDF.php?anio=2026&archivo=17082026-MAT.pdf&repo= | https://sidof.segob.gob.mx/notas/docFuente/5796405,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-electricidad-2026-09-19/VERIFICACION.json."
RAD-061,"12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado",Acuerdo A/023/2024,Exclusión de centros de carga de autoabastecimiento o cogeneración legada,23 abr 2024,Cargado,Vigente/transitorio; revisar lineamientos de migración 2026,https://sidof.segob.gob.mx/notas/5724250 | https://sidof.segob.gob.mx/notas/docFuente/5724250,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-electricidad-2026-09-19/VERIFICACION.json."
RAD-062,"12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado",Acuerdo A/054/2024,"Unidades de inspección para centros de carga, generación, transmisión y distribución",20 may 2024,Cargado,Vigente/transitorio,https://sidof.segob.gob.mx/notas/5727366 | https://sidof.segob.gob.mx/notas/docFuente/5727366,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-electricidad-2026-09-19/VERIFICACION.json."
RAD-063,"12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado",Acuerdo A/061/2024,Deja insubsistente modificación de 2020 sobre permisos,13 jun 2024,Antecedente o efectos limitados,Antecedente; régimen sustituido en 2025,https://sidof.segob.gob.mx/notas/5730361,Conservar estado histórico y cotejar relación con el instrumento posterior.
RAD-064,"12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado",Acuerdo A/108/2024,Electromovilidad e infraestructura de carga conectada al SEN,10 sep 2024,Cargado,Vigente/transitorio,https://sidof.segob.gob.mx/notas/5738646 | https://sidof.segob.gob.mx/notas/docFuente/5738646,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-electricidad-2026-09-19/VERIFICACION.json."
RAD-065,"12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado",Acuerdo A/085/2024,Liquidación de cargas indirectamente modeladas en suministro de último recurso,30 ene 2025,Cargado,Vigente/transitorio,https://sidof.segob.gob.mx/notas/5748078 | https://sidof.segob.gob.mx/notas/docFuente/5748078,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-electricidad-2026-09-19/VERIFICACION.json."
RAD-066,"12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado",Acuerdo A/113/2024,Primeras DACG de almacenamiento eléctrico,7 mar 2025,Antecedente o efectos limitados,**Sin efectos desde abril de 2026**,https://sidof.segob.gob.mx/notas/5751230,Antecedente identificado por el radar como sin efectos desde abril de 2026. Las DACG de integración de 2026 sí están cargadas (RAD-073).
RAD-067,"12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado",Acuerdo,Permiso de autoconsumo interconectado de 0.7 a 20 MW,6 ago 2025,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5764827,"Acuerdo de requisitos cargado con dos resolutivos y cuatro transitorios separados; preámbulo, firma y nota editorial identificados."
RAD-068,"12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado",Formato,Autoconsumo interconectado 0.7-20 MW,7 oct 2025,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5769388,"Formato e instructivo completos: 12 tablas, 205 celdas y ocho casillas. Se conserva el acuerdo que lo publica y su transitorio."
RAD-069,"12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado",DACG,"Permisos de generación y almacenamiento, modificaciones y vigencias",23 oct 2025,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5770667,"Cargadas las DACG con 71 numerales, cinco transitorios y seis formatos CNE_ELECTRICIDAD_01 a 06. Se conservaron las tablas y casillas."
RAD-070,"12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado",Contrato modelo,"Interconexión y conexión de centrales, SAEE y centros de carga",17 mar 2026,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5782317 | https://sidof.segob.gob.mx/notas/docFuente/5782317,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-electricidad-2026-09-19/VERIFICACION.json."
RAD-071,"12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado",DACG,"Mecanismos competitivos CENACE para potencia, energía, servicios conexos y confiabilidad",3 abr 2026,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5784027 | https://sidof.segob.gob.mx/notas/docFuente/5784027,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-electricidad-2026-09-19/VERIFICACION.json."
RAD-072,"12.3 CNE, CRE y CENACE: electricidad, permisos, redes y mercado",DACG,Cogeneración,16 abr 2026,Cargado,Vigente,https://sidof.segob.gob.mx/notas/5785044 | https://sidof.segob.gob.mx/notas/docFuente/5785044,"Incorporado y cotejado con la fuente oficial el 19 de septiembre de 2026. Se conserva la publicación, no un texto consolidado; no se certifica vigencia. Evidencia: incorporacion-pendientes-2026-09-19/VERIFICACION.json."
